year,mo,dy,rainfall_mm
2019,10,17,2.07
2019,10,18,7.21
2019,10,19,13.7
2019,10,20,0.26
2019,10,21,0.05
2019,10,22,0.11
2019,10,23,0.79
2019,10,24,0.69
2019,10,25,0.49
2019,10,26,0.19
2019,10,27,0.13
2019,10,28,0.2
2019,10,29,0.55
2019,10,30,0.27
2019,10,31,0.65
2019,11,1,9.01
2019,11,2,8.38
2019,11,3,3.86
2019,11,4,13.54
2019,11,5,1.3
2019,11,6,4.05
2019,11,7,3.97
2019,11,8,0.46
2019,11,9,0.22
2019,11,10,2.63
2019,11,11,8.68
2019,11,12,2.32
2019,11,13,0.16
2019,11,14,0.78
2019,11,15,1.53
2019,11,16,1.82
2019,11,17,0.58
2019,11,18,0.03
2019,11,19,0.24
2019,11,20,0.21
2019,11,21,0.31
2019,11,22,1.28
2019,11,23,7.16
2019,11,24,3.03
2019,11,25,2.97
2019,11,26,7.62
2019,11,27,4.83
2019,11,28,5.31
2019,11,29,0.06
2019,11,30,0.03
2019,12,1,0.02
2019,12,2,3.98
2019,12,3,0.06
2019,12,4,0.49
2019,12,5,2.52
2019,12,6,1.83
2019,12,7,9.31
2019,12,8,3.45
2019,12,9,0.18
2019,12,10,6.04
2019,12,11,1.45
2019,12,12,4.36
2019,12,13,6.94
2019,12,14,2.21
2019,12,15,1.28
2019,12,16,1.1
2019,12,17,0.33
2019,12,18,5.38
2019,12,19,5.53
2019,12,20,1.2
2019,12,21,0.52
2019,12,22,0.6
2019,12,23,1.41
2019,12,24,1.07
2019,12,25,0.13
2019,12,26,0.16
2019,12,27,3.34
2019,12,28,0.67
2019,12,29,0.22
2019,12,30,0.37
2019,12,31,0.07
