-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 03/31/2019 
Location: Latitude  55.9201   Longitude -3.156 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR
2019,1,1,0,5.25,87.25,0.0
2019,1,1,1,4.76,88.0,0.0
2019,1,1,2,4.52,89.44,0.0
2019,1,1,3,4.39,91.06,0.0
2019,1,1,4,4.27,92.44,0.0
2019,1,1,5,4.27,93.75,0.0
2019,1,1,6,4.21,94.75,0.0
2019,1,1,7,4.15,95.31,0.0
2019,1,1,8,4.09,95.62,0.0
2019,1,1,9,4.15,92.56,0.0
2019,1,1,10,4.33,88.44,0.0
2019,1,1,11,4.46,85.06,0.0
2019,1,1,12,4.46,83.62,0.0
2019,1,1,13,4.33,82.06,0.0
2019,1,1,14,4.03,83.06,0.0
2019,1,1,15,3.72,85.19,0.0
2019,1,1,16,3.54,86.0,0.0
2019,1,1,17,3.48,87.69,0.0
2019,1,1,18,3.48,91.62,0.0
2019,1,1,19,3.48,94.06,0.0
2019,1,1,20,3.42,95.88,0.0
2019,1,1,21,3.42,97.62,0.0
2019,1,1,22,3.36,99.38,0.0
2019,1,1,23,3.36,100.0,0.0
2019,1,2,0,3.36,100.0,0.0
2019,1,2,1,3.36,100.0,0.0
2019,1,2,2,3.3,100.0,0.0
2019,1,2,3,3.3,100.0,0.0
2019,1,2,4,3.3,100.0,0.0
2019,1,2,5,3.3,99.38,0.0
2019,1,2,6,3.23,98.25,0.0
2019,1,2,7,3.23,97.25,0.0
2019,1,2,8,3.23,97.06,0.0
2019,1,2,9,3.23,95.94,0.0
2019,1,2,10,3.36,92.12,0.0
2019,1,2,11,3.42,89.06,0.0
2019,1,2,12,3.48,89.81,0.0
2019,1,2,13,3.54,92.19,0.0
2019,1,2,14,3.54,97.94,0.0
2019,1,2,15,3.42,100.0,0.0
2019,1,2,16,3.42,100.0,0.0
2019,1,2,17,3.42,100.0,0.0
2019,1,2,18,3.42,100.0,0.0
2019,1,2,19,3.42,100.0,0.0
2019,1,2,20,3.42,100.0,0.0
2019,1,2,21,3.42,100.0,0.0
2019,1,2,22,3.42,100.0,0.0
2019,1,2,23,3.42,100.0,0.0
2019,1,3,0,3.42,100.0,0.0
2019,1,3,1,3.42,99.75,0.0
2019,1,3,2,3.48,99.31,0.0
2019,1,3,3,3.48,99.31,0.0
2019,1,3,4,3.48,99.56,0.0
2019,1,3,5,3.42,99.88,0.0
2019,1,3,6,3.42,99.75,0.0
2019,1,3,7,3.42,99.5,0.0
2019,1,3,8,3.42,98.88,0.0
2019,1,3,9,3.48,95.0,0.0
2019,1,3,10,3.66,91.25,0.0
2019,1,3,11,3.85,90.06,0.0
2019,1,3,12,3.97,90.56,0.0
2019,1,3,13,4.03,92.62,0.0
2019,1,3,14,4.03,96.06,0.0
2019,1,3,15,3.97,100.0,0.0
2019,1,3,16,3.97,100.0,0.01
2019,1,3,17,3.97,100.0,0.01
2019,1,3,18,4.03,100.0,0.01
2019,1,3,19,3.97,100.0,0.0
2019,1,3,20,4.03,100.0,0.01
2019,1,3,21,4.03,100.0,0.01
2019,1,3,22,4.09,100.0,0.02
2019,1,3,23,4.15,100.0,0.02
2019,1,4,0,4.27,100.0,0.02
2019,1,4,1,4.39,99.56,0.02
2019,1,4,2,4.52,99.69,0.03
2019,1,4,3,4.58,100.0,0.02
2019,1,4,4,4.64,100.0,0.02
2019,1,4,5,4.7,100.0,0.02
2019,1,4,6,4.7,100.0,0.02
2019,1,4,7,4.64,100.0,0.01
2019,1,4,8,4.64,100.0,0.01
2019,1,4,9,4.7,100.0,0.01
2019,1,4,10,4.76,99.19,0.01
2019,1,4,11,4.88,97.81,0.0
2019,1,4,12,4.88,96.62,0.0
2019,1,4,13,4.82,95.81,0.0
2019,1,4,14,4.58,95.75,0.0
2019,1,4,15,4.33,95.19,0.0
2019,1,4,16,4.15,93.81,0.0
2019,1,4,17,4.03,93.19,0.0
2019,1,4,18,3.85,92.75,0.0
2019,1,4,19,3.78,93.0,0.0
2019,1,4,20,3.72,93.56,0.0
2019,1,4,21,3.72,93.62,0.0
2019,1,4,22,3.72,93.69,0.0
2019,1,4,23,3.72,93.5,0.0
2019,1,5,0,3.72,93.31,0.0
2019,1,5,1,3.78,93.44,0.0
2019,1,5,2,3.85,93.69,0.0
2019,1,5,3,3.85,94.25,0.0
2019,1,5,4,3.85,94.81,0.0
2019,1,5,5,3.85,95.06,0.0
2019,1,5,6,3.85,95.12,0.0
2019,1,5,7,3.85,95.19,0.0
2019,1,5,8,3.85,95.12,0.0
2019,1,5,9,3.91,94.12,0.0
2019,1,5,10,4.15,92.56,0.0
2019,1,5,11,4.33,91.44,0.0
2019,1,5,12,4.46,91.25,0.0
2019,1,5,13,4.46,91.94,0.0
2019,1,5,14,4.33,93.38,0.0
2019,1,5,15,4.21,94.94,0.0
2019,1,5,16,4.15,95.69,0.0
2019,1,5,17,4.15,95.88,0.0
2019,1,5,18,4.15,96.19,0.0
2019,1,5,19,4.15,97.62,0.0
2019,1,5,20,4.21,99.5,0.0
2019,1,5,21,4.27,100.0,0.0
2019,1,5,22,4.46,100.0,0.01
2019,1,5,23,4.58,100.0,0.03
2019,1,6,0,4.7,100.0,0.08
2019,1,6,1,4.82,99.62,0.07
2019,1,6,2,4.94,99.44,0.06
2019,1,6,3,5.0,99.69,0.03
2019,1,6,4,5.0,100.0,0.02
2019,1,6,5,5.07,100.0,0.01
2019,1,6,6,5.13,100.0,0.01
2019,1,6,7,5.13,100.0,0.01
2019,1,6,8,5.07,100.0,0.02
2019,1,6,9,5.13,100.0,0.02
2019,1,6,10,5.19,99.06,0.02
2019,1,6,11,5.25,98.25,0.02
2019,1,6,12,5.25,97.69,0.02
2019,1,6,13,5.25,97.44,0.03
2019,1,6,14,5.19,97.56,0.02
2019,1,6,15,5.13,96.44,0.02
2019,1,6,16,5.13,95.88,0.03
2019,1,6,17,5.19,97.0,0.05
2019,1,6,18,5.19,98.38,0.1
2019,1,6,19,5.25,98.69,0.09
2019,1,6,20,5.37,97.94,0.07
2019,1,6,21,5.49,97.19,0.06
2019,1,6,22,5.55,96.69,0.05
2019,1,6,23,5.68,96.44,0.05
2019,1,7,0,5.86,95.88,0.06
2019,1,7,1,6.1,95.38,0.04
2019,1,7,2,6.23,95.5,0.04
2019,1,7,3,6.29,95.12,0.06
2019,1,7,4,6.47,94.44,0.07
2019,1,7,5,6.59,94.88,0.04
2019,1,7,6,6.77,93.81,0.02
2019,1,7,7,6.77,92.75,0.04
2019,1,7,8,6.84,92.12,0.1
2019,1,7,9,6.84,91.69,0.13
2019,1,7,10,6.65,89.56,0.09
2019,1,7,11,5.92,86.06,0.05
2019,1,7,12,5.49,83.56,0.03
2019,1,7,13,5.37,82.5,0.03
2019,1,7,14,5.25,83.12,0.03
2019,1,7,15,5.19,84.75,0.02
2019,1,7,16,5.13,85.38,0.01
2019,1,7,17,5.07,84.94,0.01
2019,1,7,18,5.0,84.75,0.01
2019,1,7,19,5.0,85.06,0.01
2019,1,7,20,5.0,85.5,0.01
2019,1,7,21,5.0,86.5,0.01
2019,1,7,22,5.0,87.44,0.01
2019,1,7,23,4.94,87.5,0.01
2019,1,8,0,4.82,87.25,0.01
2019,1,8,1,4.76,87.62,0.01
2019,1,8,2,4.7,87.19,0.01
2019,1,8,3,4.64,87.0,0.01
2019,1,8,4,4.64,87.62,0.01
2019,1,8,5,4.58,88.75,0.0
2019,1,8,6,4.58,89.81,0.0
2019,1,8,7,4.46,94.38,0.0
2019,1,8,8,4.46,97.88,0.0
2019,1,8,9,4.46,94.75,0.0
2019,1,8,10,4.64,91.38,0.0
2019,1,8,11,4.76,89.44,0.0
2019,1,8,12,4.82,87.94,0.0
2019,1,8,13,4.64,84.56,0.0
2019,1,8,14,4.46,85.25,0.0
2019,1,8,15,4.15,88.75,0.0
2019,1,8,16,3.97,91.12,0.0
2019,1,8,17,3.91,92.0,0.0
2019,1,8,18,3.85,92.88,0.0
2019,1,8,19,3.78,93.25,0.0
2019,1,8,20,3.78,94.56,0.0
2019,1,8,21,3.78,97.25,0.0
2019,1,8,22,3.78,99.56,0.0
2019,1,8,23,3.78,100.0,0.0
2019,1,9,0,3.72,100.0,0.0
2019,1,9,1,3.72,100.0,0.0
2019,1,9,2,3.72,100.0,0.0
2019,1,9,3,3.78,100.0,0.0
2019,1,9,4,3.78,100.0,0.0
2019,1,9,5,3.72,100.0,0.0
2019,1,9,6,3.72,100.0,0.0
2019,1,9,7,3.66,100.0,0.0
2019,1,9,8,3.66,100.0,0.0
2019,1,9,9,3.66,95.31,0.0
2019,1,9,10,3.72,90.5,0.0
2019,1,9,11,3.91,89.69,0.0
2019,1,9,12,3.85,86.19,0.0
2019,1,9,13,3.97,87.75,0.0
2019,1,9,14,3.85,89.06,0.0
2019,1,9,15,3.54,87.81,0.0
2019,1,9,16,3.6,90.5,0.0
2019,1,9,17,3.66,93.19,0.0
2019,1,9,18,3.78,95.81,0.0
2019,1,9,19,3.91,96.81,0.01
2019,1,9,20,4.03,95.88,0.02
2019,1,9,21,4.15,95.56,0.03
2019,1,9,22,4.27,96.0,0.05
2019,1,9,23,4.39,96.44,0.09
2019,1,10,0,4.52,96.88,0.09
2019,1,10,1,4.64,96.94,0.1
2019,1,10,2,4.76,97.69,0.08
2019,1,10,3,4.82,98.12,0.06
2019,1,10,4,4.82,98.38,0.05
2019,1,10,5,4.82,99.19,0.03
2019,1,10,6,4.82,99.19,0.03
2019,1,10,7,5.0,99.0,0.03
2019,1,10,8,5.07,99.0,0.02
2019,1,10,9,5.25,98.62,0.01
2019,1,10,10,5.43,97.69,0.01
2019,1,10,11,5.55,96.44,0.0
2019,1,10,12,5.55,94.69,0.0
2019,1,10,13,5.62,94.56,0.0
2019,1,10,14,5.49,95.88,0.0
2019,1,10,15,5.19,100.0,0.0
2019,1,10,16,5.07,100.0,0.0
2019,1,10,17,4.94,100.0,0.01
2019,1,10,18,4.88,100.0,0.01
2019,1,10,19,4.82,100.0,0.01
2019,1,10,20,4.82,100.0,0.01
2019,1,10,21,4.94,98.81,0.01
2019,1,10,22,4.94,98.81,0.0
2019,1,10,23,4.94,99.06,0.0
2019,1,11,0,4.94,99.31,0.0
2019,1,11,1,4.88,100.0,0.0
2019,1,11,2,4.88,100.0,0.0
2019,1,11,3,4.88,100.0,0.0
2019,1,11,4,4.88,100.0,0.0
2019,1,11,5,4.88,100.0,0.0
2019,1,11,6,4.88,100.0,0.0
2019,1,11,7,4.82,99.94,0.0
2019,1,11,8,4.76,99.94,0.0
2019,1,11,9,4.88,97.81,0.0
2019,1,11,10,5.13,94.69,0.0
2019,1,11,11,5.37,93.94,0.0
2019,1,11,12,5.55,94.12,0.0
2019,1,11,13,5.62,94.69,0.0
2019,1,11,14,5.62,96.12,0.0
2019,1,11,15,5.43,99.94,0.01
2019,1,11,16,5.43,100.0,0.02
2019,1,11,17,5.55,99.0,0.04
2019,1,11,18,5.74,98.25,0.03
